,image_name,positions
0,img/WOMEN/Blouses_Shirts/id_00000001/02_1_front.jpg,front
1,img/WOMEN/Blouses_Shirts/id_00000001/02_2_side.jpg,side
2,img/WOMEN/Blouses_Shirts/id_00000001/02_3_back.jpg,back
3,img/WOMEN/Blouses_Shirts/id_00000001/02_4_full.jpg,full
4,img/WOMEN/Dresses/id_00000002/02_1_front.jpg,front
5,img/WOMEN/Dresses/id_00000002/02_2_side.jpg,side
6,img/WOMEN/Dresses/id_00000002/02_4_full.jpg,full
7,img/WOMEN/Skirts/id_00000003/02_1_front.jpg,front
8,img/WOMEN/Skirts/id_00000003/02_2_side.jpg,side
9,img/WOMEN/Skirts/id_00000003/02_3_back.jpg,back
10,img/WOMEN/Skirts/id_00000003/02_4_full.jpg,full
11,img/WOMEN/Blouses_Shirts/id_00000004/03_1_front.jpg,front
12,img/WOMEN/Blouses_Shirts/id_00000004/03_3_back.jpg,back
13,img/WOMEN/Blouses_Shirts/id_00000004/05_1_front.jpg,front
14,img/WOMEN/Blouses_Shirts/id_00000004/05_2_side.jpg,side
15,img/WOMEN/Blouses_Shirts/id_00000005/02_1_front.jpg,front
16,img/WOMEN/Blouses_Shirts/id_00000005/02_2_side.jpg,side
17,img/WOMEN/Blouses_Shirts/id_00000005/02_4_full.jpg,full
18,img/MEN/Sweatshirts_Hoodies/id_00000006/01_1_front.jpg,front
19,img/MEN/Sweatshirts_Hoodies/id_00000006/01_2_side.jpg,side
20,img/MEN/Sweatshirts_Hoodies/id_00000006/01_3_back.jpg,back
21,img/MEN/Sweatshirts_Hoodies/id_00000006/02_1_front.jpg,front
22,img/MEN/Sweatshirts_Hoodies/id_00000006/02_2_side.jpg,side
23,img/MEN/Sweatshirts_Hoodies/id_00000006/02_3_back.jpg,back
24,img/WOMEN/Tees_Tanks/id_00000007/01_1_front.jpg,front
25,img/WOMEN/Tees_Tanks/id_00000007/01_2_side.jpg,side
26,img/WOMEN/Tees_Tanks/id_00000007/01_3_back.jpg,back
27,img/WOMEN/Tees_Tanks/id_00000007/01_4_full.jpg,full
28,img/WOMEN/Dresses/id_00000008/02_3_back.jpg,back
29,img/WOMEN/Dresses/id_00000009/02_1_front.jpg,front
30,img/WOMEN/Dresses/id_00000009/02_2_side.jpg,side
31,img/WOMEN/Dresses/id_00000009/02_3_back.jpg,back
32,img/WOMEN/Dresses/id_00000009/02_4_full.jpg,full
33,img/WOMEN/Cardigans/id_00000010/01_1_front.jpg,front
34,img/WOMEN/Cardigans/id_00000010/01_2_side.jpg,side
35,img/WOMEN/Cardigans/id_00000010/01_4_full.jpg,full
36,img/WOMEN/Cardigans/id_00000010/02_1_front.jpg,front
37,img/WOMEN/Cardigans/id_00000010/02_2_side.jpg,side
38,img/WOMEN/Dresses/id_00000011/02_1_front.jpg,front
39,img/WOMEN/Dresses/id_00000011/02_2_side.jpg,side
